userid,hd-context-time,quantity,unit,device_name,device_make,device_type,hardware_version,software_version
1234567,heart_rate#NA#2024-10-01 00:00:00,91,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:05:00,178,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:10:00,37,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:15:00,125,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:20:00,81,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:25:00,143,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:30:00,154,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:35:00,90,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:40:00,103,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:45:00,103,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:50:00,56,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 00:55:00,40,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:00:00,120,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:05:00,49,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:10:00,160,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:15:00,133,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:20:00,169,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:25:00,160,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:30:00,50,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:35:00,39,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:40:00,51,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:45:00,157,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:50:00,137,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 01:55:00,149,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 02:00:00,154,bpm,My Watch,HDI,Watch,1,2
1234567,heart_rate#NA#2024-10-01 02:05:00,130,bpm,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:00:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:05:00,41,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:10:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:15:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:20:00,31,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:25:00,33,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:30:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:35:00,32,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:40:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:45:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:50:00,31,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 00:55:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:00:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:05:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:10:00,30,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:15:00,36,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:20:00,31,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:25:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:30:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:35:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:40:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:45:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:50:00,31,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 01:55:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:00:00,45,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:05:00,30,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:10:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:15:00,45,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:20:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:25:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:30:00,30,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:35:00,32,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:40:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:45:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:50:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 02:55:00,36,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:00:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:05:00,41,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:10:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:15:00,30,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:20:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:25:00,45,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:30:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:35:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:40:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:45:00,30,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:50:00,32,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 03:55:00,36,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:00:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:05:00,33,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:10:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:15:00,33,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:20:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:25:00,33,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:30:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:35:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:40:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:45:00,39,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:50:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 04:55:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:00:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:05:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:10:00,39,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:15:00,39,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:20:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:25:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:30:00,32,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:35:00,30,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:40:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:45:00,41,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:50:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 05:55:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:00:00,33,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:05:00,31,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:10:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:15:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:20:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:25:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:30:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:35:00,31,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:40:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:45:00,31,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:50:00,39,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 06:55:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:00:00,32,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:05:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:10:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:15:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:20:00,39,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:25:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:30:00,31,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:35:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:40:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:45:00,45,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:50:00,32,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 07:55:00,39,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:00:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:05:00,32,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:10:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:15:00,36,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:20:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:25:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:30:00,45,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:35:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:40:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:45:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:50:00,36,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 08:55:00,35,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:00:00,41,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:05:00,41,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:10:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:15:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:20:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:25:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:30:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:35:00,30,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:40:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:45:00,36,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:50:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 09:55:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:00:00,45,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:05:00,30,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:10:00,40,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:15:00,37,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:20:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:25:00,33,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:30:00,44,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:35:00,39,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:40:00,34,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:45:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:50:00,32,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 10:55:00,39,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 11:00:00,42,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 11:05:00,45,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 11:10:00,43,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 11:15:00,38,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 11:20:00,36,°C,My Watch,HDI,Watch,1,2
1234567,skin_temperature#NA#2024-10-01 11:25:00,34,°C,My Watch,HDI,Watch,1,2
